"Image type","Feature Class","Feature Name","Segmentation_segment_auxiliar","Segmentation_segment_Segment_1","Segmentation_segment_Segment_2","Segmentation_segment_Segment_3","Segmentation_segment_Segment_4","Segmentation_segment_Segment_5","Segmentation_segment_Segment_6","Segmentation_segment_Segment_7","Segmentation_segment_Segment_8","Segmentation_segment_Segment_9","Segmentation_segment_Segment_10"
"diagnostics","Mask-original","Size","","(1111, 1041, 1)","(1111, 1041, 1)","(1111, 1041, 1)","(1111, 1041, 1)","(1111, 1041, 1)","(1111, 1041, 1)","(1111, 1041, 1)","(1111, 1041, 1)","(1111, 1041, 1)","(1111, 1041, 1)"
"diagnostics","Mask-original","BoundingBox","","(119, 41, 0, 847, 953, 1)","(176, 155, 0, 232, 84, 1)","(119, 318, 0, 333, 64, 1)","(142, 442, 0, 281, 107, 1)","(135, 623, 0, 311, 142, 1)","(152, 826, 0, 274, 100, 1)","(617, 154, 0, 321, 75, 1)","(617, 308, 0, 295, 89, 1)","(597, 460, 0, 324, 110, 1)","(646, 640, 0, 241, 114, 1)"
"diagnostics","Mask-original","VoxelNum","","250679","17787","20593","25551","38869","25483","22547","23015","32634","24189"
"diagnostics","Mask-original","VolumeNum","","26","1","1","1","1","1","1","1","1","1"
"diagnostics","Mask-original","CenterOfMassIndex","","(520.3833468300097, 543.3324969383156, 0.0)","(291.84702310676334, 197.83167481868782, 0.0)","(283.220463264216, 348.95090564755014, 0.0)","(281.3220226214238, 494.78822746663536, 0.0)","(294.4587203169621, 692.4266124675191, 0.0)","(290.02829337205196, 874.2201075226621, 0.0)","(778.8018361644565, 191.1460948241451, 0.0)","(763.2094286334999, 350.3751466434934, 0.0)","(760.1777593920451, 512.7765214193786, 0.0)","(765.155359874323, 698.417751870685, 0.0)"
"diagnostics","Mask-original","CenterOfMass","","(78.05750202450146, 81.49987454074733, 0.0)","(43.7770534660145, 29.67475122280317, 0.0)","(42.4830694896324, 52.34263584713252, 0.0)","(42.19830339321357, 74.2182341199953, 0.0)","(44.16880804754432, 103.86399187012786, 0.0)","(43.50424400580779, 131.1330161283993, 0.0)","(116.82027542466847, 28.671914223621766, 0.0)","(114.48141429502498, 52.55627199652401, 0.0)","(114.02666390880677, 76.91647821290678, 0.0)","(114.77330398114846, 104.76266278060275, 0.0)"
"original","shape","Elongation","","0.878422907571976","0.33817254548565157","0.18946501176803343","0.35369772732741145","0.42177823351901794","0.35627381513035855","0.22576772633173056","0.2690874044155319","0.32492125653562476","0.4273610204110354"
"original","shape","Flatness","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"original","shape","LeastAxisLength","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"original","shape","MajorAxisLength","","154.05632364736493","39.55856989857753","56.932079467617136","46.569036816221434","52.78012097022496","46.387186849617066","54.62674766403959","50.93976505115273","54.9002157262418","41.46915038968586"
"original","shape","Maximum2DDiameterColumn","","118.8","34.8","49.949999999999996","40.65","46.5","41.099999999999994","48.15","43.8","48.3","35.85"
"original","shape","Maximum2DDiameterRow","","132.3","12.0","9.6","14.55","21.150000000000002","15.0","11.1","12.749999999999998","16.349999999999998","16.349999999999998"
"original","shape","Maximum2DDiameterSlice","","172.81315054127103","36.203487401077815","50.50346522764551","43.95025597195083","49.1350180624776","42.78603744213759","48.95656237931744","45.823711111170375","50.32159079361462","38.913365313218534"
"original","shape","Maximum3DDiameter","","172.81315054127103","36.203487401077815","50.50346522764551","43.95025597195083","49.1350180624776","42.78603744213759","48.95656237931744","45.823711111170375","50.32159079361462","38.913365313218534"
"original","shape","MeshVolume","","5598.476249990596","396.81937500018734","458.98687500028814","570.8737500003803","869.7300000004713","569.304375000408","503.0081250003241","513.6731250003221","729.5943750005384","540.4200000003393"
"original","shape","MinorAxisLength","","135.32660374816768","13.377622278374037","10.786637106310696","16.471362485724075","22.261506187741556","16.52654003207787","12.332956617007394","13.707249159151715","17.838247077847353","17.722298426114833"
"original","shape","Sphericity","","0.12414597852180108","0.29634050465154127","0.2794138022004645","0.2667729539175097","0.23597973945383804","0.267207703227894","0.2740184290708564","0.27341851559677594","0.24805052769603123","0.2712954891737749"
"original","shape","SurfaceArea","","12281.875631191488","881.2281345141533","1029.8400576245956","1247.486082884588","1867.235265055858","1243.1727957426754","1116.231701186843","1134.4380017786798","1580.028620840514","1182.6670406118667"
"original","shape","SurfaceVolumeRatio","","2.1937890030724194","2.220728598531101","2.243724415047705","2.1852223593811364","2.1469137146641444","2.1836698439947604","2.2191126657966485","2.2084822946070393","2.1656260998987937","2.1884220432462236"
"original","shape","VoxelVolume","","5640.2775","400.2075","463.3425","574.8974999999999","874.5525","573.3675","507.3075","517.8375","734.265","544.2524999999999"
"original","firstorder","10Percentile","","123.0","140.0","141.0","140.0","133.0","140.0","154.0","138.0","129.0","129.0"
"original","firstorder","90Percentile","","193.0","201.0","200.0","204.0","177.0","188.0","196.0","180.0","176.0","198.0"
"original","firstorder","Energy","","6719599431.0","556135247.0","660641721.0","785841104.0","939822414.0","677033384.0","702055113.0","610419293.0","760457909.0","728823379.0"
"original","firstorder","Entropy","","2.147099691727206","1.9651968772878856","1.695861516352705","2.0433712864281857","1.7549725895934982","1.8602268161899054","1.70388664031108","1.443313482548287","1.7390830155031736","2.0156515628091958"
"original","firstorder","InterquartileRange","","35.0","24.0","17.0","28.0","23.0","24.0","15.0","15.0","25.0","24.0"
"original","firstorder","Kurtosis","","2.747124088248489","4.60901603371754","5.506226905782864","3.953123528220766","3.8116611413727557","4.481927154080084","6.678552111976801","5.7467865879122035","3.8833768712434398","3.8175604790782085"
"original","firstorder","Maximum","","254.0","231.0","244.0","245.0","220.0","254.0","238.0","210.0","237.0","245.0"
"original","firstorder","MeanAbsoluteDeviation","","21.011342666118697","17.667263551964112","16.468356959179786","18.96603963742248","14.450126234879477","15.66104498263428","13.946492811655759","12.749016272671446","15.350667765371096","19.301949871210127"
"original","firstorder","Mean","","161.6199960906179","175.12143700455388","177.46967416112273","173.50420727173105","154.32910545679076","161.60663972059805","175.13793409322747","161.76619595915707","151.34623398909113","171.6245814213072"
"original","firstorder","Median","","165.0","178.0","183.0","175.0","155.0","160.0","178.0","165.0","150.0","177.0"
"original","firstorder","Minimum","","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0"
"original","firstorder","Range","","160.0","137.0","150.0","151.0","126.0","160.0","144.0","116.0","143.0","151.0"
"original","firstorder","RobustMeanAbsoluteDeviation","","14.886434164573535","10.683780473664092","8.412992585091324","11.954835392512265","9.407858938012428","10.072221656320005","6.936294402982804","6.697002971101027","10.46205051412727","11.889523108481262"
"original","firstorder","RootMeanSquared","","163.7241391225663","176.8230420642873","179.11138358250685","175.37327796113286","155.4967138634493","162.99705767749737","176.45794650113982","162.85782715661608","152.6519779474515","173.5810017651644"
"original","firstorder","Skewness","","-0.37973276312768595","-1.2192686336034069","-1.563789267982973","-0.7774952575417804","-0.47151987244898297","0.16406601034643695","-1.68610247255191","-1.407769362238227","0.33643538483803714","-1.0114800040351668"
"original","firstorder","TotalEnergy","","151190987.1975","12513043.0575","14864438.7225","17681424.84","21146004.314999998","15233251.139999999","15796240.042499999","13734434.0925","17110302.9525","16398526.0275"
"original","firstorder","Uniformity","","0.2618958521992442","0.3151055757088618","0.44587062456514287","0.2936369359169698","0.3570264459526001","0.3520393192624949","0.40013406332822693","0.5013651951005893","0.3617388057936477","0.3161282552960876"
"original","firstorder","Variance","","684.5705950941091","598.8705063287887","585.4024819848308","652.0766818409569","361.7552312381778","451.33480973822833","464.11092495542925","354.3697110778285","396.9438285885047","675.3672257591008"
"original","glcm","Autocorrelation","","17.086763226835444","21.546059535178408","22.779940378867064","21.074248865676733","14.278030138554723","16.615202782316164","21.50247022074449","16.429162903829315","13.483977832225731","20.471108485410717"
"original","glcm","ClusterProminence","","51.381394948337","57.809063968226184","62.93228412816187","59.77759020870673","19.569692704940028","33.33139496148336","46.22271336892426","23.952572281807424","21.72283876059408","65.08474497222392"
"original","glcm","ClusterShade","","-2.8112181029935224","-6.905050477278591","-9.363390503748036","-4.777384109589438","-1.2118969598950613","1.5040975769197074","-6.504640701299984","-3.410271090866647","1.607628044898127","-7.760808650621343"
"original","glcm","ClusterTendency","","4.347892589096265","3.7252607655382666","3.3177475465305712","4.022842801044429","2.4023598428502346","2.851025566435343","2.7969857946782373","1.9673943943872945","2.374083523297127","4.200646562876042"
"original","glcm","Contrast","","0.2198405840230015","0.23942296860319318","0.2671650660846144","0.18955415479360033","0.19319638809677592","0.22081763004408683","0.26896384065664763","0.16994921334874388","0.24807980762639242","0.2369942328323999"
"original","glcm","Correlation","","0.9033347858285556","0.8779864864133435","0.8478675527663146","0.9093910534867768","0.850542299551242","0.8553983215829208","0.8219449428563597","0.8386979073555484","0.8098321203471661","0.8927891670633485"
"original","glcm","DifferenceAverage","","0.2000432040877162","0.23408491971628748","0.22080203048271127","0.18325947524462216","0.1862262227259045","0.1913613355657989","0.24703829105712366","0.1591915448380631","0.21109606083115692","0.2076795728710574"
"original","glcm","DifferenceEntropy","","0.7448927155183438","0.7872493908188736","0.8045203776006427","0.6904665742910598","0.7023869134974402","0.73508479267878","0.8340292720554092","0.6414330316368724","0.7779100769367236","0.7634742266797484"
"original","glcm","DifferenceVariance","","0.17780129997718322","0.1812651872001638","0.21435631142395573","0.15418377292123953","0.15718664038261038","0.18253647062970177","0.20447886694312822","0.14307199683722824","0.20065152893879967","0.19259830877710293"
"original","glcm","Id","","0.9029280186433081","0.8838472149563407","0.8966644600736681","0.9093149283325891","0.9080258626499802","0.9087018920293284","0.8798200972008348","0.9221531693704422","0.8997523406526982","0.9001855806896711"
"original","glcm","Idm","","0.9019477262623327","0.8834913450305468","0.8942317947164939","0.9089983290494785","0.9075839051741349","0.9072649616649293","0.8786638976704909","0.9214799944320365","0.898114227698598","0.8990459239541571"
"original","glcm","Idmn","","0.9966550940460926","0.9952236267763594","0.9947916933740159","0.9962279722826728","0.9948084527922266","0.9966576039052788","0.994685253313248","0.9954537201411437","0.9951637140261347","0.9953686492139604"
"original","glcm","Idn","","0.9779842562096881","0.9708135246033379","0.9730215306767842","0.9771764740288379","0.9735196392200389","0.9790521500854581","0.9694139896222668","0.9774483565816672","0.9740969390465068","0.974417342574803"
"original","glcm","Imc1","","-0.580071982820656","-0.5158010400128376","-0.4761646235343835","-0.600204571202088","-0.5282268855513141","-0.5386858850865754","-0.44098141544479397","-0.5211420930052263","-0.4812099036811165","-0.5546652881743253"
"original","glcm","Imc2","","0.9541870602850585","0.9248408429570821","0.8812855605887457","0.952248973596496","0.912867597696082","0.9241140371524563","0.8695707640895606","0.8710514675919101","0.8919139597814068","0.9412419317406872"
"original","glcm","InverseVariance","","0.18595228718822673","0.22941412694024504","0.18645916308077953","0.1787282205658109","0.18034190783988288","0.17056262468281988","0.23076167480639376","0.1501941684241111","0.18663733018450046","0.18983348395535088"
"original","glcm","JointAverage","","4.006825994662975","4.546912016751514","4.692220546625533","4.485064678535757","3.704821637945966","3.9946935127934085","4.568393421091047","3.9974565140725558","3.5989488677498875","4.41362698919754"
"original","glcm","JointEnergy","","0.1862735268811465","0.21482463745049088","0.35986323540967585","0.21944115871579803","0.2593378399020846","0.26684265421972353","0.2835294820781088","0.4253491892493754","0.2625474796898043","0.22882854116108575"
"original","glcm","JointEntropy","","3.0032237662048713","2.852130792666717","2.500837201004468","2.806627654434786","2.5326984251562017","2.6562973754708628","2.5778256625693574","2.05970534344406","2.5861533553109273","2.8611465504782165"
"original","glcm","MCC","","0.9108392805696041","0.9079819007027599","0.8798391545063592","0.9238592851180693","0.8722856855621512","0.8782545869935101","0.8638011643849388","0.8859969468862277","0.8207048467810547","0.9254528875867368"
"original","glcm","MaximumProbability","","0.31090253797115713","0.37382587141960943","0.583531425253265","0.3286244670500213","0.424968070730835","0.45934881296671703","0.4769003417267487","0.6323375554116089","0.3755125820493801","0.4084232440178183"
"original","glcm","SumAverage","","8.01365198932595","9.093824033503026","9.384441093251064","8.970129357071514","7.409643275891932","7.989387025586818","9.136786842182097","7.9949130281451115","7.197897735499776","8.827253978395081"
"original","glcm","SumEntropy","","2.7527842677777494","2.599530182090678","2.1975849223831863","2.6082085324731006","2.3222361696664113","2.4054045836188696","2.288045017881191","1.8686755350342195","2.3007695327154045","2.606273546280011"
"original","glcm","SumSquares","","1.1419332932798167","0.991170933535365","0.8962281531537963","1.0530992389595073","0.6488890577367525","0.7679607991198575","0.7664874088337215","0.5343359019340096","0.6555408327308796","1.1094101989271103"
"original","gldm","DependenceEntropy","","4.426715595635997","4.390366220870933","3.7333348822146886","4.159003354466878","3.990254031016595","3.9539256023521627","4.047524171834557","3.202975390260195","3.9885538070452546","4.336163395022125"
"original","gldm","DependenceNonUniformity","","69912.17894997187","3795.871535391016","5849.076045258097","7447.512152166256","11088.881499395406","8120.606561236903","4915.431099481084","8714.35242233326","8874.55647484219","6173.9500186034975"
"original","gldm","DependenceNonUniformityNormalized","","0.2788912471725668","0.2134070689487275","0.2840322461641382","0.29147634739017086","0.28528857185405865","0.31866760433374813","0.2180082094948811","0.37863795013396745","0.2719420382068453","0.25523791883101815"
"original","gldm","DependenceVariance","","3.882830583341768","3.980299760315663","4.382942345669517","3.4715780299418153","3.5689082395512397","4.082123237390546","4.3581092501188445","3.704524481266386","3.9221791291236827","3.7028580998677336"
"original","gldm","GrayLevelNonUniformity","","65651.79033345434","5604.782875133525","9181.813771669986","7502.717349614497","13877.260927731611","8971.017972766158","9021.822725861533","11538.91996524006","11804.984188269902","7646.826367357063"
"original","gldm","GrayLevelVariance","","1.1998103820403037","1.0899543702824077","1.0218249982563679","1.1379263848159429","0.6898676415137353","0.816878409077755","0.8703663969011031","0.605980380325123","0.6883862458088288","1.1914084107599734"
"original","gldm","HighGrayLevelEmphasis","","17.030608866319078","21.428852532748635","22.623804205312485","20.96657665062033","14.270369703362578","16.580112231683866","21.39331174879141","16.341516402346297","13.505944720230435","20.391086857662575"
"original","gldm","LargeDependenceEmphasis","","58.56719150786464","53.97228312812729","57.79502743650755","59.50252436303863","59.541202500707506","60.32653141309893","53.703951745243266","62.778926786878124","58.241527241527244","57.84931167059407"
"original","gldm","LargeDependenceHighGrayLevelEmphasis","","1014.031673973488","1202.0590880980492","1378.2627106298257","1278.6364917224375","862.828809591191","1000.8572381587725","1215.7271920876392","1048.590658266348","770.8305141876571","1208.1123651246435"
"original","gldm","LargeDependenceLowGrayLevelEmphasis","","4.696154811157613","3.013783528684801","2.888746067422906","3.468498722842431","5.017985412539556","4.278664428023823","2.763849717752597","4.247352053008907","5.183699207328944","3.758543194986871"
"original","gldm","LowGrayLevelEmphasis","","0.0934600290520244","0.07238384405691589","0.06972953460508177","0.07350617403759019","0.09638548000262992","0.08095170094944804","0.06899932360993066","0.08549348251140561","0.09798745086888914","0.07918757111068551"
"original","gldm","SmallDependenceEmphasis","","0.03165077962815854","0.03353575665319194","0.034825941555357814","0.029247599029755073","0.029739613174275117","0.03275764582758461","0.03619256573399718","0.02851952020539148","0.03212481871940894","0.03161969308947643"
"original","gldm","SmallDependenceHighGrayLevelEmphasis","","0.5030807483356684","0.6494368138807615","0.6676917796336481","0.5524528918230509","0.4056201739450019","0.5179854819030866","0.671729503933515","0.43457933673948335","0.4462387713822157","0.5999486221928242"
"original","gldm","SmallDependenceLowGrayLevelEmphasis","","0.0052199385018370185","0.004836357716375158","0.005196166431308308","0.005028980586283487","0.004946608943126148","0.004356211250047778","0.004769338972423421","0.004837393736065769","0.004711644446088271","0.004963214506343153"
"original","glrlm","GrayLevelNonUniformity","","10699.295364020298","1007.4570785849896","907.5339696361309","1033.5975731346587","2099.421108832673","1131.6456436568799","1465.8002232309398","904.5548594432008","1752.8153692525202","1157.3385403444363"
"original","glrlm","GrayLevelNonUniformityNormalized","","0.21437781363560277","0.23832440373461838","0.21508022866116533","0.2168467169925059","0.28627969761862304","0.23995629161336737","0.2703260926253781","0.2445448316859799","0.2657657097722349","0.23522786056507006"
"original","glrlm","GrayLevelVariance","","1.706408354580228","1.737703393223985","2.013203884668552","1.9906502450629286","1.0782841440698197","1.4806526338144892","1.4962662724084854","1.5594576191990017","1.2007416146167853","1.8108094882396017"
"original","glrlm","HighGrayLevelRunEmphasis","","16.21061636438136","19.662897539083847","19.504087779385962","19.421423150682386","13.63933067931731","16.324452730432295","18.86336374776008","15.120171206868873","14.165251639317976","19.149133574772307"
"original","glrlm","LongRunEmphasis","","126.16703087814253","69.34244362939656","179.62780964771838","150.8574776755877","121.63851530265129","164.8258299754609","86.93278556516309","282.47020835329226","100.56079302903855","84.52678280948665"
"original","glrlm","LongRunHighGrayLevelEmphasis","","2155.289821987419","1414.57201869228","4139.204383164508","3051.929723620521","1731.0119842180031","2641.4287765948993","1937.5834156385376","4550.57513780494","1235.7235170942254","1767.0674302296275"
"original","glrlm","LongRunLowGrayLevelEmphasis","","9.976735993524375","4.7568999968431775","10.313112485025394","9.080422752342534","10.631752354184536","11.714464963482904","5.074787280805166","19.51155988573261","9.569469084562774","5.597588802194968"
"original","glrlm","LowGrayLevelRunEmphasis","","0.13473820362307615","0.11134058405436151","0.12358291202244558","0.12379721981721992","0.1367531937778923","0.11542326934924181","0.1081081787129059","0.1532928552495519","0.12633424963787054","0.12163927495354919"
"original","glrlm","RunEntropy","","5.697819539449019","5.318515099631377","5.212126846401738","5.560481240018425","5.387714477336123","5.380569778791173","5.0202379866004785","5.26515178237687","5.421815579205926","5.516713369942318"
"original","glrlm","RunLengthNonUniformity","","8751.326936898085","745.1645124097627","968.3010727744507","743.1062795157609","1107.53277460339","1015.0108965435883","1231.5168588789902","735.831137551224","1190.7621911901463","742.3285410719214"
"original","glrlm","RunLengthNonUniformityNormalized","","0.17158827417525296","0.17047225460949275","0.2175352441116295","0.1565750363311188","0.149879400239089","0.20858701482331965","0.21302333676819524","0.19440721115227613","0.1722384370330476","0.15206474795484637"
"original","glrlm","RunPercentage","","0.2006390643013575","0.24118738404452691","0.21145534890496773","0.1893272278971469","0.18981707787697139","0.18754659969391357","0.24691755000665278","0.16425157505974364","0.20372923944352514","0.2051965769564678"
"original","glrlm","RunVariance","","95.205808647151","46.69025137226396","146.23846525343538","115.07497542912834","88.9996289572399","131.511855552663","65.39925735033404","231.5428960557595","69.24572755799845","57.624070620009796"
"original","glrlm","ShortRunEmphasis","","0.4002030238290722","0.3921847201174908","0.46653123135675095","0.3445114273819071","0.3561846617374158","0.45888270061534187","0.4536467241851907","0.4341941489307368","0.40033585477133815","0.35743233013811054"
"original","glrlm","ShortRunHighGrayLevelEmphasis","","5.791068700827137","6.611649014153053","7.618093387479564","5.739814872593417","4.587662682527197","6.545321732199046","7.238027119125701","5.61084796949602","5.394139557643154","6.459671989731312"
"original","glrlm","ShortRunLowGrayLevelEmphasis","","0.08108120464417198","0.06980498443865173","0.08818620954333813","0.07443120048694891","0.07540532892809285","0.0741004567556349","0.07349166322058841","0.10406149396928877","0.07188409415628486","0.06998234968015254"
"original","glszm","GrayLevelNonUniformity","","613.927599009901","42.724137931034484","71.09059233449477","56.06299212598425","106.71079429735234","73.96338028169014","74.09034267912773","56.540983606557376","99.07630522088354","65.03154574132492"
"original","glszm","GrayLevelNonUniformityNormalized","","0.18995284622831096","0.21046373365041618","0.2477024123153128","0.22072044144088288","0.21733359327363003","0.208347550089268","0.23081103638357547","0.2317253426498253","0.19894840405799907","0.20514683199156128"
